animateType,name,no,tagAddr,tagID,interval
changeImage,FCU.6F-3.기동,1068,http://192.168.245.3:9898/monitor/hvac/2010_4_12,TAG_2010_4_12,NULL
changeImage,FCU.6F-4.기동,1069,http://192.168.245.3:9898/monitor/hvac/2010_4_13,TAG_2010_4_13,NULL
changeImage,FCU.6F-5.기동,1070,http://192.168.245.3:9898/monitor/hvac/2010_4_14,TAG_2010_4_14,NULL
changeImage,FCU.6F-6.기동,1071,http://192.168.245.3:9898/monitor/hvac/2010_4_15,TAG_2010_4_15,NULL
changeImage,공조기10.냉난방전환,1072,http://192.168.245.3:9898/monitor/hvac/2010_5_1,TAG_2010_5_1,NULL
changeImage,공조기10.예열운전,1073,http://192.168.245.3:9898/monitor/hvac/2010_5_2,TAG_2010_5_2,NULL
changeImage,공조기10.등급해제,1074,http://192.168.245.3:9898/monitor/hvac/2010_5_3,TAG_2010_5_3,NULL
changeImage,공조기10.자동운전,1075,http://192.168.245.3:9898/monitor/hvac/2010_5_4,TAG_2010_5_4,NULL
changeImage,공조기10.엔탈피운전선택,1076,http://192.168.245.3:9898/monitor/hvac/2010_5_5,TAG_2010_5_5,NULL
changeImage,FCU23.자동운전,1077,http://192.168.245.3:9898/monitor/hvac/2010_5_6,TAG_2010_5_6,NULL
changeTextFloor_1,FCU23.냉난방전환,1078,http://192.168.245.3:9898/monitor/hvac/2010_5_7,TAG_2010_5_7,NULL
changeImage,FCU23.등급해제,1079,http://192.168.245.3:9898/monitor/hvac/2010_5_8,TAG_2010_5_8,NULL
changeTextFloor_1,FCU24.자동운전,1080,http://192.168.245.3:9898/monitor/hvac/2010_5_9,TAG_2010_5_9,NULL
changeTextFloor_1,FCU24.냉난방전환,1081,http://192.168.245.3:9898/monitor/hvac/2010_5_10,TAG_2010_5_10,NULL
changeImage,FCU24.등급해제,1082,http://192.168.245.3:9898/monitor/hvac/2010_5_11,TAG_2010_5_11,NULL
changeImage,FCU25.자동운전,1083,http://192.168.245.3:9898/monitor/hvac/2010_5_12,TAG_2010_5_12,NULL
changeTextFloor_1,FCU25.냉난방전환,1084,http://192.168.245.3:9898/monitor/hvac/2010_5_13,TAG_2010_5_13,NULL
changeImage,FCU25.등급해제,1085,http://192.168.245.3:9898/monitor/hvac/2010_5_14,TAG_2010_5_14,NULL
changeImage,FCU23.기동,1086,http://192.168.245.3:9898/monitor/hvac/2010_5_15,TAG_2010_5_15,NULL
changeImage,FCU24.기동,1087,http://192.168.245.3:9898/monitor/hvac/2010_5_16,TAG_2010_5_16,NULL
